Title,Link,Description,Answers
Important Progress iMacros Product Update,https://forum.imacros.net/viewtopic.php?f=20&t=32084&sid=cce5cad11886b5e8da078b59befd40f8,"['Dear iMacros Customers and Users, \n\nWe are writing to inform you that Progress will be officially discontinuing the Progress iMacros product, with a planned End-Of-Life date of November 30, 2023. \n\nWhat does this mean? \nMoving forward, Progress will continue to support the iMacros product and will only provide critical fixes as needed until the EOL date. We will honor all service agreements through the existing term, except for those contracts that go beyond the EOL date. Customers with service agreements that go beyond the EOL date will be contacted separately to discuss their options and next steps. We will continue to offer service agreement renewals that do not exceed the EOL date. \n\nWhat are your next steps? \nPlease remain on the lookout for more communications from Progress in the coming months, as more information will be made readily available to assist you as you prepare your transition plans. \n\nIf you have additional questions, please email iMacrosInquiries@progress.com \n\nOn behalf of Progress, thank you for your continued partnership and commitment. \n\nSincerely,  \nThe Progress iMacros Team', 'To post comments / provide feedback, please use this topic.']"
*** Please read this before reporting problems ***,https://forum.imacros.net/viewtopic.php?f=20&t=3331&sid=cce5cad11886b5e8da078b59befd40f8,"['Post last updated: May 25, 2020.\n\nIf you open a new topic (or post for the first time in some existing topic) to report an issue or ask any question, we can respond much faster if your problem description includes the following information (if applicable, not all questions fit to all problems):\n\n1. What version of iMacros are you using?\nYou find the iMacros version and build information at the top of every macro that you record, for example ""VERSION BUILD=10100795"". Also specify whether you are using a freeware, trial, or licensed version, e.g. Personal Edition. Please test with the latest version.\n\n2. What operating system are you using? (please also specify language)\nExample: Windows 10, Windows 8.1, Windows 7, Windows Server 2012R2, English, German, Chinese, ...\n\n3. Which browser(s) are you using? (include version numbers)\nExample: Chrome 74.0.3729.13, Firefox 64.0.2, IE 11/10/9, ...\n\n4. Do the included demo macros work ok? \nThis test helps us to determine if the problem is a general iMacros issue or is somehow related to a specific website or configuration.\n\n5. If reporting a problem with the iMacros scripting interface, please also test if the included VBS sample scripts run ok.\nThis test helps us to determine if the iMacros scripting interface installation is ok.\n\n6. If recording or replay fails on a specific website: Can you please post the URL of the web page and/or the macro that creates the problem?\nIf you cannot post the macro in a public user forum or the website requires a login, can you provide a similar example of the problem on a publicly accessible website?\n\n7. Do you encounter the same problem recording or replaying the macro in different browsers, such as the iMacros browser, Firefox, Chrome, or Internet Explorer? \nNote: If the problem is specific to Firefox or Chrome, please post in either the iMacros for Firefox or iMacros for Chrome sub-forum respectively.\n\n8. Please include any additional information that is relevant to reproducing the issue.\nThis includes a detailed description of the steps you\'ve tried as well as the specific error codes and messages, macro logs, screen shots, etc. Please upload screenshots and other relevant files directly to the forum and not to a third-party hosting service!\n\nThis information allows us to quickly re-create the issue on our test systems and solve it ASAP.\n\nAdditional tips when posting\n\n* Please ensure that the content of your post is relevant to the topic and/or forum where you post it.\nFor example, if you are having a problem extracting data from a web page and are using Firefox, create your post in the Data Extraction and Web Screen Scraping forum rather than the iMacros for Firefox forum (see note #7 above). If you are unsure which forum to post to, use the General Support & Discussions forum.\n\n* Use a topic title that succinctly describes the problem or issue.\nAvoid phrases such as ""Please Help"", ""Urgent"", ""Script not working"", etc. and refrain from using all capital letters and exclamation points. Also, double-check that the spelling of the title and body of the post are correct, since this makes it more likely to be found in searches by other users. Most modern browsers automatically check spelling as you type and underline mistakes, so please correct them before submitting your post.\n\n* Don\'t post the same question to more than one forum.\nIf you\'ve miscategorized your original post, just click the Exclamation Icon on the right of the post\'s subject/title line to report it and let us know where you would like it moved or merged.\n\n* Always provide your FCI (Full Config Info), c.f. items 1-3 above, in your original post even if you think it may not be relevant.\nSome of our mods may not even respond unless this information is included. Please don\'t put this information in your signature, because this can change over time and makes it more confusing when reviewing older posts. Include the information directly in the body of the post instead.\n\n* When sharing screenshots or other relevant files, please upload them directly to the forum rather than use a third-party hosting/sharing service.\nToo often these services stop functioning or the files become unavailable for whatever reason. Uploading them here ensures that the full context of the post remains consistent over time.\n\n* Take a minute to review your forum notification settings\n\nThank you for helping us to help you better!']"
How to enter a large amount of text into a text area field,https://forum.imacros.net/viewtopic.php?f=15&t=18475&sid=cce5cad11886b5e8da078b59befd40f8,"[""Simple!\n\nJust put all of the text into a CSV file. This is as easy as pasting the entire text into a text editor like Windows Notepad, then adding double-quote characters at the beginning and end of the text and saving it with a .csv extension. Of course if your text already includes double-quote characters within it, they will need to be escaped according to the rules of CSV files. It's also OK if the text contains line breaks.\n\nOnce the file is saved, you can reference it as a datasource for your macro.\n\nHere is an example:\nCode: Select allTAB T=1\nTAB CLOSEALLOTHERS \nSET !DATASOURCE longText.csv\nSET !DATASOURCE_LINE 1\nURL GOTO=http://www.iopus.com/imacros/demo/v6/f1/form.asp\nTAG POS=1 TYPE=TEXTAREA FORM=NAME:TestForm ATTR=NAME:Remarks CONTENT={{!COL1}}\n\n\n\n longText.zip\nlongText.csv (2.42 KiB) Downloaded 24631 times\n\n\nFor more information on using CSV files with iMacros, see Input from Comma Separated Data (CSV) File.""]"
How to handle a file download dialog from a Flash app,https://forum.imacros.net/viewtopic.php?f=15&t=13058&sid=cce5cad11886b5e8da078b59befd40f8,"['iMacros currently does not automatically handle file download dialogs generated by Flash applications.  However, the same technique described in Automating a tricky file upload dialog will also work with these download dialogs.  Note that in this case the ONDOWNLOAD command is not needed.\n\nIf the file you are downloading already exists in the target download location, then you will also need to use a DS CMD=KEY command to dismiss the Confirm Save As dialog:\n\n\n\nConfirm Save As.png (15.15 KiB) Viewed 48036 times\n\n\nCode: Select allWAIT SECONDS=1\nDS CMD=KEY CONTENT=Y\n']"
Automating a tricky file upload dialog,https://forum.imacros.net/viewtopic.php?f=15&t=12671&sid=cce5cad11886b5e8da078b59befd40f8,"[""There are many cases where a web page presents a file input field for entering/selecting a file to upload.  In these cases, it is very easy to use a simple TAG command for the input field and specify the appropriate file in the CONTENT parameter, as shown in the Upload.iim demo macro that ships with iMacros.\n\nHowever, there are also cases where an input field is not provided on the web form (or it is not directly editable), and you can only choose the file by using a file upload dialog, which is usually presented after clicking a button or link.  There are even cases where automatic click-mode does not work for recording the click on the upload button, and you must use DirectScreen or IMAGECLICK to click the button, as in the following example.\n\n\n\n\n\nThe problem is, once you are presented with the file upload dialog, how do you automate it to specify the file you want to upload?\n\nThe answer is: use the DS CMD=KEY command after the dialog appears to send the path/name of the file and press Enter.\n\nThe following macro demonstrates just how to do this for the example page shown above:\nCode: Select allVERSION BUILD=7221254\nTAB T=1\nTAB CLOSEALLOTHERS\nSIZE X=800 Y=867\nURL GOTO=http://kleinanzeigen.ebay.de/anzeigen/p-anzeige-aufgeben.html\nTAG POS=1 TYPE=A FORM=ID:pstctgry-frm ATTR=ID:cat_195\nTAG POS=1 TYPE=A FORM=ID:pstctgry-frm ATTR=ID:cat_275\nTAG POS=1 TYPE=BUTTON:SUBMIT FORM=ID:pstctgry-frm ATTR=TXT:Weiter\nTAG POS=1 TYPE=INPUT:RADIO FORM=ID:adForm ATTR=ID:adType1&&VALUE:OFFER CONTENT=YES\nTAG POS=1 TYPE=INPUT:RADIO FORM=ID:adForm ATTR=ID:posterType1&&VALUE:PRIVATE CONTENT=YES\nTAG POS=1 TYPE=INPUT:TEXT FORM=ID:adForm ATTR=ID:postad-title CONTENT=Italien<SP>-<SP>Ferienwohnung<SP>mit<SP>Garten<SP>-<SP>4<SP>Personen<SP>max.\nTAG POS=1 TYPE=INPUT:TEXT FORM=ID:adForm ATTR=ID:pstad-price CONTENT=290\nTAG POS=1 TYPE=INPUT:TEXT FORM=ID:adForm ATTR=ID:pstad-zip CONTENT=80331\nTAG POS=1 TYPE=TEXTAREA FORM=ID:adFormBottom ATTR=ID:pstad-descrptn CONTENT=blah<SP>blah<SP>blah\n\n' Click the file upload button\nDS CMD=CLICK X=320 Y=517\n\n' Wait a second to give the dialog a chance to pop up\nWAIT SECONDS=1\n\n' Send the path/name of the file and Enter to the dialog\nDS CMD=KEY CONTENT=C:\\Temp\\Current.png{ENTER}\n\nNote: This method will only work if the upload dialog does not block further execution of the macro. For example, if the file upload dialog is invoked by a Flash, Java, or Silverlight application, the macro may not be able to continue once the dialog appears and remains stuck. In this case, depending on how the file upload is implemented by the site / web application, you might be able to work around the issue by e.g. disabling Flash as described in this post.\n\nSee also: this post that describes a scenario where using a normal TAG command to upload the file may work by adding the CONTENT parameter to the command that clicks the Browse (or similarly named) button on the page for selecting the file.""]"
How To Delete All Facebook Groups / Wall Posts From Facebook,https://forum.imacros.net/viewtopic.php?f=15&t=8603&sid=cce5cad11886b5e8da078b59befd40f8,"['It seems the new Facebook privacy settings caused users to delete some part of their content. We are glad that iMacros can help with that \n\nFor more details please see http://www.cynthiaperla.com/facebook/46 ... acros.html\n\nOf course, the method described in the blog post works well with any website where you want to remove or add data automatically.\n\nAnn']"
CSV Standard File Format,https://forum.imacros.net/viewtopic.php?f=15&t=307&sid=cce5cad11886b5e8da078b59befd40f8,"['The CSV (""Comma Separated Values"") file format is often used to exchange data between differently similar applications. The CSV file format is useable by Internet Macros, Microsoft Excel and many other applications. \n\nThe CSV Format:\n\n1. Each record is one line - Line separator may be LF (0x0A) or CRLF (0x0D0A), a line seperator may also be embedded in the data (making a record more than one line but still acceptable). \n\n2. Fields are separated with commas. \n\n3. Leading and trailing whitespace is ignored - Unless the field is delimited with double-quotes in that case the whitespace is preserved. \n\n4. Embedded commas - Field must be delimited with double-quotes. \n\n5. Embedded double-quotes - Embedded double-quote characters must be doubled, and the field must be delimited with double-quotes. \n\n6. Embedded line-breaks - Fields must be surounded by double-quotes. \n\n7. Always Delimiting - Fields may always be delimited with double quotes, the delimiters will be parsed and discarded by the reading applications. \n\nHere are some examples that demonstrate the rules above. Each sample describes the data and how the reading application should interpret it. \n\nStandard line: Code: Select allAAA, BBB, CCC\n\nLeading and trailing whitespace and embedded commasCode: Select all""  AAA "", ""B,B,B"", ""   CCC,,,""', ""Looking at the csv explaination, should I convert all excel data into csv if I plan on using it in a macro?  I'd like to create a macro that copies a cell value and pastes it into an online form (requires loging into a website).  I'd like to then run the report (clicking the search button on the web page). I need to do this for approx 26,000 cells one after the other. How should I do this?"", 'Excel will do all the conversion for you: Just select SAVE AS and use ""CSV"" as file format  ']"
Need more than 3 variables,https://forum.imacros.net/viewtopic.php?f=15&t=2858&sid=cce5cad11886b5e8da078b59befd40f8,"['Q: I use the PROMPT command in my macro for user input. However, I need to assign more than three variables.\n\nA: The problem is that iMacros PROMPT command can only set the three variables !VAR1, !VAR2 and !VAR3. If more then three pieces of user input are needed you simply run out of variables. The solution is to take the user input step by step. \n\nFirst, let the macro navigate to the site where the input is needed. Then use the PROMPT command to ask for the first three inputs and fill the webform with these three pieces of information using the TAG command. \n\nNow the variables are free to be used with the PROMPT command again since the input has already been given to the website. You can continue with this procedure until you have filled the entire form.\n\niOpus Support', 'Yes this works, but what if we would like to loop and call back the original variable that was set before we changed it for the 4th variable? is there a way we could use another included variable?', 'Topdogie01, do you have an example for such a task?']"
How to upload images to the forum,https://forum.imacros.net/viewtopic.php?f=15&t=1311&sid=cce5cad11886b5e8da078b59befd40f8,"['You can not attach files or images to this user forum directly, but you can include images using the  attribute. The file itself must be on another server. \n\nFor example, you can upload the image here: \nhttp://tinypic.com/ \n\nHere is a test using the tinypic service: \n\n\nPlease note that iOpus is not affiliated with the tinypic service. If you know other services, please feel free to suggest them.', 'I just found\nhttp://www.picamatic.com\n\nTheir interface is extremely easy and they allow to upload unlimited amount of images in just a single click!\nWorks fast, moreover, has absolutely no ads!', 'We updated our user forum. You can upload images now directly:\n\nHere is how it works:\n1. Select the ""Upload Attachment tab""\n\n\n\nupload image.png (25.47 KiB) Viewed 60942 times\n\n\n\n2. After the upload, select ""Place inline"", so the image appears directly inside your post.\n\n\n\n\n\n\n3. Done! The images are visible just like in this post.']"
Refreshing pages that then require resubmission of data,https://forum.imacros.net/viewtopic.php?f=15&t=1920&sid=cce5cad11886b5e8da078b59befd40f8,"['Problem:\n\nI am trying to automate some web site entries. At one point I have to refresh the page and I get the IE dialogue telling me it has to resubmit the info. I cant seem to get the dialogue manager to press the retry button for me.\n\nSolution:\n\nThis dialog is not supported by iMacros. However, an alternative is instead of clicking REFRESH, click BACK and the resubmit the data. This is the equivalent of REFRESH on such pages.\n\nDaniel Kerr\niOpus Support', ""Has there been any change on the status of this limitation?  I have a complex process that sometimes runs into errors occasionally. When these errors occur, I have to refresh.  if I go back, I am not sure how that will affect my normal logic.  Is there some reason why this can't be supported?"", 'Well, still do not support this dialog, simply because the BACK and RESUBMIT method works in all cases that we have encountered so far. If you have a website where you think this does not work, please let us know.']"
